TransactionID,Date,State,City,ProductCategory,ProductName,SalesAmount,UnitsSold,ProfitMargin,CustomerSegment
10001,2023-01-15,California,Los Angeles,Electronics,Smartphone,500,3,0.15,Individual
10002,2023-01-20,Texas,Dallas,Fashion,Sneakers,150,2,0.20,Corporate
10003,2023-01-25,Florida,Miami,HomeGoods,Furniture,1200,1,0.25,Small Business
10004,2023-02-02,New York,New York City,Electronics,Laptop,1200,1,0.18,Individual
10005,2023-02-05,Illinois,Chicago,Fashion,Jacket,200,1,0.22,Corporate
10006,2023-02-10,California,San Francisco,HomeGoods,Table Lamp,100,2,0.15,Individual
10007,2023-02-15,Texas,Houston,Electronics,Tablet,300,1,0.10,Small Business
10008,2023-02-20,Florida,Orlando,Fashion,T-shirt,50,5,0.12,Individual
10009,2023-02-25,New York,Buffalo,HomeGoods,Desk,450,1,0.20,Corporate
10010,2023-03-03,Illinois,Springfield,Electronics,Headphones,150,4,0.18,Individual
10011,2023-03-10,California,Los Angeles,Fashion,Jeans,75,2,0.25,Corporate
10012,2023-03-15,Texas,Dallas,HomeGoods,Chair,300,3,0.22,Small Business
10013,2023-03-20,Florida,Miami,Electronics,Camera,400,1,0.15,Individual
10014,2023-03-25,New York,New York City,Fashion,Sunglasses,120,1,0.25,Corporate
10015,2023-04-01,Illinois,Chicago,HomeGoods,Couch,800,1,0.18,Individual
10016,2023-04-05,California,San Francisco,Electronics,Smartwatch,250,2,0.12,Corporate
10017,2023-04-10,Texas,Houston,Fashion,Boots,180,1,0.20,Small Business
10018,2023-04-15,Florida,Orlando,HomeGoods,Bookshelf,500,1,0.25,Individual
10019,2023-04-20,New York,Buffalo,Electronics,Smartphone,600,2,0.15,Corporate
10020,2023-04-25,Illinois,Springfield,Fashion,Coat,350,1,0.18,Small Business
10021,2023-05-01,California,Los Angeles,HomeGoods,Lamp,90,3,0.15,Individual
10022,2023-05-05,Texas,Dallas,Electronics,Tablet,400,1,0.10,Corporate
10023,2023-05-10,Florida,Miami,Fashion,Shorts,60,5,0.20,Individual
10024,2023-05-15,New York,New York City,HomeGoods,Rug,600,1,0.18,Corporate
10025,2023-05-20,Illinois,Chicago,Electronics,Laptop,1300,1,0.18,Individual
10026,2023-05-25,California,San Francisco,Fashion,Dress,150,1,0.22,Corporate
10027,2023-06-01,Texas,Houston,HomeGoods,TV Stand,200,2,0.25,Small Business
10028,2023-06-05,Florida,Orlando,Electronics,Camera,500,1,0.15,Individual
10029,2023-06-10,New York,Buffalo,Fashion,Bag,100,1,0.20,Corporate
10030,2023-06-15,Illinois,Springfield,HomeGoods,Recliner,700,1,0.25,Small Business
10031,2023-06-20,California,Los Angeles,Electronics,Smartphone,550,2,0.18,Individual
10032,2023-06-25,Texas,Dallas,Fashion,Watch,250,1,0.22,Corporate
10033,2023-07-01,Florida,Miami,HomeGoods,Bed,1000,1,0.25,Individual
10034,2023-07-05,New York,New York City,Electronics,Laptop,1200,1,0.18,Corporate
10035,2023-07-10,Illinois,Chicago,Fashion,Hat,75,1,0.20,Individual
10036,2023-07-15,California,San Francisco,HomeGoods,Chair,250,1,0.22,Corporate
10037,2023-07-20,Texas,Houston,Electronics,Headphones,200,3,0.18,Small Business
10038,2023-07-25,Florida,Orlando,Fashion,Shoes,100,2,0.20,Individual
10039,2023-08-01,New York,Buffalo,HomeGoods,Desk,500,1,0.22,Corporate
10040,2023-08-05,Illinois,Springfield,Electronics,Smartphone,600,2,0.15,Small Business
10041,2023-08-10,California,Los Angeles,Fashion,Coat,350,1,0.25,Individual
10042,2023-08-15,Texas,Dallas,HomeGoods,Rug,600,1,0.18,Corporate
10043,2023-08-20,Florida,Miami,Electronics,Camera,450,1,0.12,Individual
10044,2023-08-25,New York,New York City,Fashion,Jeans,80,2,0.22,Corporate
10045,2023-09-01,Illinois,Chicago,HomeGoods,Couch,900,1,0.18,Individual
10046,2023-09-05,California,San Francisco,Electronics,Smartwatch,250,2,0.12,Small Business
10047,2023-09-10,Texas,Houston,Fashion,Sneakers,180,2,0.20,Corporate
10048,2023-09-15,Florida,Orlando,HomeGoods,Lamp,70,3,0.15,Individual
10049,2023-09-20,New York,Buffalo,Electronics,Laptop,1100,1,0.18,Corporate
10050,2023-09-25,Illinois,Springfield,Fashion,Jacket,250,1,0.22,Small Business
10051,2023-10-01,California,Los Angeles,HomeGoods,Bookshelf,500,1,0.20,Individual
10052,2023-10-05,Texas,Dallas,Electronics,Headphones,150,4,0.15,Corporate
10053,2023-10-10,Florida,Miami,Fashion,Shirt,80,2,0.22,Individual
10054,2023-10-15,New York,New York City,HomeGoods,Desk,400,1,0.18,Corporate
10055,2023-10-20,Illinois,Chicago,Electronics,Smartphone,600,2,0.18,Individual
10056,2023-10-25,California,San Francisco,Fashion,Hat,60,1,0.12,Corporate
10057,2023-11-01,Texas,Houston,HomeGoods,Rug,500,1,0.25,Small Business
10058,2023-11-05,Florida,Orlando,Electronics,Camera,500,1,0.15,Individual
10059,2023-11-10,New York,Buffalo,Fashion,Coat,350,1,0.22,Corporate
10060,2023-11-15,Illinois,Springfield,HomeGoods,Couch,700,1,0.18,Small Business
10061,2023-11-20,California,Los Angeles,Electronics,Laptop,1100,1,0.18,Individual
10062,2023-11-25,Texas,Dallas,Fashion,Shoes,100,2,0.20,Corporate
10063,2023-12-01,Florida,Miami,HomeGoods,Table Lamp,120,3,0.15,Individual
10064,2023-12-05,New York,New York City,Electronics,Smartphone,650,2,0.15,Corporate
10065,2023-12-10,Illinois,Chicago,Fashion,Watch,250,1,0.25,Individual
10066,2023-12-15,California,San Francisco,HomeGoods,Chair,250,1,0.22,Small Business
10067,2023-12-20,Texas,Houston,Electronics,Headphones,200,3,0.18,Individual
10068,2023-12-25,Florida,Orlando,Fashion,Shorts,50,5,0.22,Corporate
10069,2023-12-30,New York,Buffalo,HomeGoods,Bookshelf,450,1,0.25,Small Business